total_items=34607 translated_items=33989 total_chars=202644 unique_chars=2022
 count  char  codepoint
     1  郁  U+90C1
     1  钝  U+949D
     1  钵  U+94B5
     1  铺  U+94FA
     1  镖  U+9556
     1  镜  U+955C
     1  陨  U+9668
     1  雇  U+96C7
     1  霾  U+973E
     1  项  U+9879
     1  颤  U+98A4
     1  饥  U+9965
     1  饮  U+996E
     1  饱  U+9971
     1  魁  U+9B41
     1  魄  U+9B44
     1  齿  U+9F7F
     2  乃  U+4E43
     2  予  U+4E88
     2  仗  U+4ED7
     2  伍  U+4F0D
     2  伸  U+4F38
     2  倍  U+500D
     2  健  U+5065
     2  共  U+5171
     2  凉  U+51C9
     2  凑  U+51D1
     2  凿  U+51FF
     2  劈  U+5288
     2  劝  U+529D
     2  匠  U+5320
     2  匹  U+5339
     2  升  U+5347
     2  台  U+53F0
     2  吠  U+5420
     2  呿  U+547F
     2  咀  U+5480
     2  咆  U+5486
     2  咬  U+54AC
     2  咽  U+54BD
     2  哮  U+54EE
     2  唐  U+5510
     2  喏  U+558F
     2  喔  U+5594
     2  噬  U+566C
     2  嚼  U+56BC
     2  土  U+571F
     2  均  U+5747
     2  壮  U+58EE
     2  壳  U+58F3
     2  央  U+592E
     2  奈  U+5948
     2  奶  U+5976
     2  嬉  U+5B09
     2  宁  U+5B81
     2  宏  U+5B8F
     2  室  U+5BA4
     2  寒  U+5BD2
     2  尖  U+5C16
     2  尾  U+5C3E
     2  屁  U+5C41
     2  岁  U+5C81
     2  巍  U+5DCD
     2  帷  U+5E37
     2  幽  U+5E7D
     2  庆  U+5E86
     2  弥  U+5F25
     2  役  U+5F79
     2  征  U+5F81
     2  御  U+5FA1
     2  忌  U+5FCC
     2  忠  U+5FE0
     2  忽  U+5FFD
     2  怂  U+6002
     2  怦  U+6026
     2  恍  U+604D
     2  恕  U+6055
     2  恿  U+607F
     2  惘  U+60D8
     2  惚  U+60DA
     2  惧  U+60E7
     2  惫  U+60EB
     2  惭  U+60ED
     2  惮  U+60EE
     2  愈  U+6108
     2  愉  U+6109
     2  懒  U+61D2
     2  戳  U+6233
     2  户  U+6237
     2  扣  U+6263
     2  扮  U+626E
     2  抚  U+629A
     2  抬  U+62AC
     2  拔  U+62D4
     2  拖  U+62D6
     2  拘  U+62D8
     2  挂  U+6302
     2  挖  U+6316
     2  挡  U+6321
     2  捏  U+634F
     2  揭  U+63ED
     2  摊  U+644A
     2  播  U+64AD
     2  攒  U+6512
     2  斥  U+65A5
     2  斩  U+65A9
     2  旦  U+65E6
     2  昔  U+6614
     2  星  U+661F
     2  昧  U+6627
     2  晒  U+6652
     2  晕  U+6655
     2  晨  U+6668
     2  暖  U+6696
     2  木  U+6728
     2  杯  U+676F
     2  构  U+6784
     2  枯  U+67AF
     2  档  U+6863
     2  棺  U+68FA
     2  樋  U+6A0B
     2  横  U+6A2A
     2  欸  U+6B38
     2  沾  U+6CBE
     2  泄  U+6CC4
     2  浅  U+6D45
